StripChart:,HMI,
Date:, Thu Mar 09 15:32:27 2023
,
Number of Data Variables =, 20,
Max Number of Data Points =, 10000,
Number of Data Points =, 223,
Time Interval,         1, to ,      4441,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],
         521,     113.441,     211.728,     277.391,     310.875,         360,     85352.9,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5434,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         541,     113.441,     211.728,     277.391,     310.875,         360,     85352.9,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5434,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         561,     113.441,     211.728,     277.391,     310.875,         360,     85352.9,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         581,     113.441,     211.728,     277.391,     310.875,         360,     85352.9,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         601,     113.441,     211.728,     277.391,     310.875,         360,     85352.9,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         621,     113.441,     211.728,     277.391,     310.875,         360,     85352.9,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         641,     113.441,     211.728,     277.391,     310.875,         360,     85352.9,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         661,     113.441,     211.728,     277.391,     310.875,         360,     85352.9,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         681,     113.441,     211.728,     277.391,     310.875,         360,     85352.9,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         701,     113.441,     211.728,     277.391,     310.875,         360,     85352.9,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         721,     113.441,     211.728,     277.391,     310.875,         360,     85352.9,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         741,     113.441,     211.728,     277.391,     310.875,         360,     85352.9,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         761,     113.441,     211.728,     277.391,     310.875,         360,     85352.9,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         781,     113.441,     211.728,     277.391,     310.875,         360,     85352.9,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         801,     113.441,     211.728,     277.391,     310.875,         360,     85352.9,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         821,     113.441,     211.728,     277.391,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         841,     113.441,     211.728,     277.391,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         861,     113.441,     211.728,     277.391,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         881,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         901,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
